outcome,modifier,strata,estimate,rr,low,high,p_diff,p_diff_sign
Acute lower RI,Annual average relative humidity,Medium,"0.999 (0.993, 1.006)",0.999271133668933,0.992986741649103,1.00559529820677,,
COPD,Annual average relative humidity,Medium,"1.005 (0.999, 1.012)",1.00539586986041,0.999068349219918,1.01176346535412,,
Asthma,Annual average relative humidity,Medium,"1.007 (0.997, 1.017)",1.00664872226263,0.996813052169133,1.01658144205464,,
Respiratory diseases,Annual average relative humidity,Higher,"1.007 (0.999, 1.015)",1.00738343054867,0.99933476805315,1.01549691713521,0.258,
Acute upper RI,Annual average relative humidity,Higher,"1.009 (0.993, 1.025)",1.00873449526224,0.992606700309486,1.02512433334846,0.991,
Pneumonia,Annual average relative humidity,Higher,"1.006 (0.997, 1.016)",1.00648727389864,0.996662582179529,1.01640881340666,0.554,
Acute lower RI,Annual average relative humidity,Higher,"1.005 (0.995, 1.014)",1.00465681308212,0.99503137585805,1.01437536198488,0.36,
COPD,Annual average relative humidity,Higher,"1.009 (0.999, 1.018)",1.00858642044749,0.999024594655384,1.01823976401901,0.587,
Asthma,Annual average relative humidity,Higher,"1.012 (0.999, 1.025)",1.01210640148736,0.998977876051441,1.02540746145508,0.517,
Respiratory diseases,Travel time to healthcare (motorized),Lower,"1.003 (0.996, 1.010)",1.0030483753179,0.996494002618105,1.00964585896606,,
Respiratory diseases,Travel time to healthcare (motorized),Medium,"1.005 (1.000, 1.011)",1.00538529832344,1.00014542689049,1.01065262201672,0.587,
Respiratory diseases,Travel time to healthcare (motorized),Higher,"1.014 (1.004, 1.025)",1.01414824914999,1.00378050037473,1.0246230833036,0.077,
Acute upper RI,Travel time to healthcare (motorized),Lower,"1.000 (0.986, 1.014)",1.00029449729457,0.986335585526798,1.01445095969379,,
Acute upper RI,Travel time to healthcare (motorized),Medium,"1.013 (1.002, 1.025)",1.01348936976292,1.0021857789782,1.02492045304186,0.153,
Acute upper RI,Travel time to healthcare (motorized),Higher,"1.032 (1.013, 1.053)*",1.03239704728572,1.012528041868,1.05265594548662,0.01,*
Pneumonia,Travel time to healthcare (motorized),Lower,"1.004 (0.994, 1.013)",1.00376148396142,0.994449351728073,1.01316081601704,,
Pneumonia,Travel time to healthcare (motorized),Medium,"1.007 (1.001, 1.013)",1.00706067917951,1.00071707373993,1.01344449711375,0.568,
Pneumonia,Travel time to healthcare (motorized),Higher,"1.013 (1.001, 1.026)",1.01343758824731,1.00070134621744,1.02633592845128,0.231,
Acute lower RI,Travel time to healthcare (motorized),Lower,"1.002 (0.994, 1.011)",1.0023566648549,0.993579287707855,1.01121158221492,,
Acute lower RI,Travel time to healthcare (motorized),Medium,"1.003 (0.997, 1.010)",1.00329769438576,0.997073329022422,1.00956091619331,0.865,
Acute lower RI,Travel time to healthcare (motorized),Higher,"1.012 (1.000, 1.024)",1.01191236079436,0.999822617629607,1.02414829178004,0.212,
COPD,Travel time to healthcare (motorized),Lower,"1.008 (1.000, 1.017)",1.00824922411675,0.999621733826329,1.01695117616224,,
COPD,Travel time to healthcare (motorized),Medium,"1.008 (1.002, 1.015)",1.0083799326677,1.00190935842164,1.01489229545553,0.981,
COPD,Travel time to healthcare (motorized),Higher,"1.014 (1.001, 1.026)",1.01375686989842,1.00135936086732,1.02630786851197,0.477,
Asthma,Travel time to healthcare (motorized),Lower,"1.017 (1.005, 1.029)",1.0167212012858,1.00487517267582,1.02870687748351,,
Asthma,Travel time to healthcare (motorized),Medium,"1.004 (0.994, 1.013)",1.003510501015,0.994096526654723,1.01301362457848,0.088,
Asthma,Travel time to healthcare (motorized),Higher,"1.025 (1.009, 1.042)",1.02511127990076,1.00862675560475,1.04186521955757,0.421,
Respiratory diseases,Travel time to healthcare (walking),Lower,"1.003 (0.996, 1.010)",1.00300504910472,0.996060638423809,1.00999787535176,,
Respiratory diseases,Travel time to healthcare (walking),Medium,"1.004 (0.999, 1.009)",1.0039852247598,0.998887680245238,1.0091087831702,0.824,
Respiratory diseases,Travel time to healthcare (walking),Higher,"1.018 (1.008, 1.029)*",1.01811294961763,1.00750565733582,1.02883191834387,0.02,*
Acute upper RI,Travel time to healthcare (walking),Lower,"1.001 (0.986, 1.016)",1.00078686593012,0.986024991939534,1.01576974134105,,
Acute upper RI,Travel time to healthcare (walking),Medium,"1.011 (1.000, 1.021)",1.01077606476346,1.00019858126264,1.021465409208,0.285,
Acute upper RI,Travel time to healthcare (walking),Higher,"1.041 (1.020, 1.064)*",1.04147516826406,1.01959351239821,1.06382642976942,0.003,*
Pneumonia,Travel time to healthcare (walking),Lower,"1.002 (0.993, 1.011)",1.00225525873098,0.993148505049696,1.01144551750962,,
Pneumonia,Travel time to healthcare (walking),Medium,"1.006 (1.000, 1.012)",1.0059837453703,0.999667160683779,1.01234024258337,0.512,
Pneumonia,Travel time to healthcare (walking),Higher,"1.019 (1.006, 1.033)*",1.01905011607023,1.00555761229405,1.03272366134611,0.044,*
Acute lower RI,Travel time to healthcare (walking),Lower,"1.001 (0.992, 1.010)",1.00123696238368,0.992292452583041,1.01026209786615,,
Acute lower RI,Travel time to healthcare (walking),Medium,"1.003 (0.996, 1.009)",1.00254377637753,0.99649193123015,1.00863237528933,0.813,
Acute lower RI,Travel time to healthcare (walking),Higher,"1.016 (1.003, 1.029)",1.01587725360009,1.0030718719929,1.02884611082921,0.067,
COPD,Travel time to healthcare (walking),Lower,"1.009 (1.000, 1.018)",1.00865777011928,0.999770252004639,1.01762429436367,,
COPD,Travel time to healthcare (walking),Medium,"1.008 (1.001, 1.014)",1.00768273078116,1.00147478688009,1.01392915649723,0.861,
COPD,Travel time to healthcare (walking),Higher,"1.015 (1.001, 1.030)",1.01532524390114,1.00116971337622,1.02968091935829,0.437,
Asthma,Travel time to healthcare (walking),Lower,"1.017 (1.005, 1.029)",1.01694491486338,1.0046171900646,1.02942391399852,,
Asthma,Travel time to healthcare (walking),Medium,"1.003 (0.994, 1.012)",1.00308595595873,0.994056646508775,1.01219728128719,0.077,
Asthma,Travel time to healthcare (walking),Higher,"1.029 (1.011, 1.047)",1.0290007597916,1.01110521515247,1.04721303755911,0.28,
